id,name,models_info
1,Honda,"[{'id': '1', 'name': '67'}, {'id': '2', 'name': '@'}, {'id': '397', 'name': 'ADV 150'}, {'id': '3', 'name': 'Air Blade'}, {'id': '334', 'name': 'Avitor'}, {'id': '388', 'name': 'Beat'}, {'id': '333', 'name': 'Blade'}, {'id': '4', 'name': 'CB'}, {'id': '427', 'name': 'CB150R'}, {'id': '5', 'name': 'CBR'}, {'id': '6', 'name': 'CD'}, {'id': '400', 'name': 'CG125Fi'}, {'id': '7', 'name': 'Chaly'}, {'id': '8', 'name': 'Citi'}, {'id': '9', 'name': 'Click'}, {'id': '10', 'name': 'Cub'}, {'id': '11', 'name': 'Dream'}, {'id': '12', 'name': 'Dylan'}, {'id': '387', 'name': 'Forza 300'}, {'id': '13', 'name': 'Future'}, {'id': '426', 'name': 'Giorno'}, {'id': '405', 'name': 'KPR'}, {'id': '14', 'name': 'Lead'}, {'id': '390', 'name': 'Monkey'}, {'id': '292', 'name': 'MSX 125'}, {'id': '336', 'name': 'Nova'}, {'id': '15', 'name': 'PCX'}, {'id': '16', 'name': 'PS'}, {'id': '17', 'name': 'Rebel'}, {'id': '335', 'name': 'Scoopy'}, {'id': '18', 'name': 'SCR'}, {'id': '19', 'name': 'SH'}, {'id': '279', 'name': 'SH Mode'}, {'id': '393', 'name': 'Shadow'}, {'id': '379', 'name': 'Sonic'}, {'id': '20', 'name': 'Spacy'}, {'id': '362', 'name': 'Vario'}, {'id': '21', 'name': 'Vision'}, {'id': '22', 'name': 'Wave'}, {'id': '23', 'name': 'Win'}, {'id': '293', 'name': 'Winner'}, {'id': '396', 'name': 'Winner X'}, {'id': '407', 'name': 'X-ADV'}, {'id': '24', 'name': 'Dòng khác'}]"
2,Yamaha,"[{'id': '351', 'name': 'Acruzo'}, {'id': '412', 'name': 'Aerox'}, {'id': '29', 'name': 'Cuxi'}, {'id': '25', 'name': 'Exciter'}, {'id': '394', 'name': 'Freego'}, {'id': '30', 'name': 'FZ'}, {'id': '280', 'name': 'Grande'}, {'id': '294', 'name': 'Janus'}, {'id': '28', 'name': 'Jupiter'}, {'id': '395', 'name': 'Latte'}, {'id': '31', 'name': 'Luvias'}, {'id': '32', 'name': 'Mio'}, {'id': '355', 'name': 'MT'}, {'id': '354', 'name': 'NM-X'}, {'id': '26', 'name': 'Nouvo'}, {'id': '33', 'name': 'Nozza'}, {'id': '370', 'name': 'Nvx'}, {'id': '34', 'name': 'R'}, {'id': '27', 'name': 'Sirius'}, {'id': '35', 'name': 'Taurus'}, {'id': '353', 'name': 'TFX'}, {'id': '401', 'name': 'Tracer'}, {'id': '406', 'name': 'XMAX'}, {'id': '36', 'name': 'Yass'}, {'id': '37', 'name': 'YAZ'}, {'id': '391', 'name': 'YB125'}, {'id': '38', 'name': 'Dòng khác'}]"
3,Piaggio,"[{'id': '282', 'name': 'Beverly'}, {'id': '88', 'name': 'ET8'}, {'id': '82', 'name': 'Fly'}, {'id': '87', 'name': 'GT'}, {'id': '85', 'name': 'GTS'}, {'id': '78', 'name': 'Liberty'}, {'id': '79', 'name': 'LX'}, {'id': '89', 'name': 'Medley'}, {'id': '84', 'name': 'Primavera'}, {'id': '90', 'name': 'PX'}, {'id': '83', 'name': 'Sprint'}, {'id': '80', 'name': 'Vespa'}, {'id': '86', 'name': 'Vespa S125'}, {'id': '81', 'name': 'Zip'}, {'id': '91', 'name': 'Dòng khác'}]"
4,Suzuki,"[{'id': '61', 'name': 'Axelo'}, {'id': '62', 'name': 'Bella'}, {'id': '63', 'name': 'Best'}, {'id': '64', 'name': 'Crystal'}, {'id': '65', 'name': 'EN'}, {'id': '66', 'name': 'Epicuro'}, {'id': '58', 'name': 'FX125'}, {'id': '296', 'name': 'GD'}, {'id': '67', 'name': 'GN'}, {'id': '295', 'name': 'GSX'}, {'id': '68', 'name': 'GZ'}, {'id': '57', 'name': 'Hayate'}, {'id': '283', 'name': 'Impulse'}, {'id': '402', 'name': 'Intruder'}, {'id': '70', 'name': 'Raider'}, {'id': '340', 'name': 'Revo'}, {'id': '72', 'name': 'Royal'}, {'id': '73', 'name': 'Sapphire'}, {'id': '60', 'name': 'Satria'}, {'id': '74', 'name': 'Smash'}, {'id': '56', 'name': 'Sport / Xipo'}, {'id': '75', 'name': 'Stinger'}, {'id': '341', 'name': 'V-Strom'}, {'id': '59', 'name': 'Viva'}, {'id': '76', 'name': 'Xbike'}, {'id': '77', 'name': 'Dòng khác'}]"
5,SYM,"[{'id': '348', 'name': 'Amigo'}, {'id': '40', 'name': 'Angela'}, {'id': '39', 'name': 'Attila'}, {'id': '41', 'name': 'Bonus'}, {'id': '42', 'name': 'Cello'}, {'id': '43', 'name': 'Elegant'}, {'id': '346', 'name': 'Elite'}, {'id': '347', 'name': 'Elizabeth'}, {'id': '44', 'name': 'Enjoy'}, {'id': '45', 'name': 'EZ'}, {'id': '46', 'name': 'Fiddle'}, {'id': '47', 'name': 'Galaxy'}, {'id': '69', 'name': 'Husky'}, {'id': '48', 'name': 'Joyride'}, {'id': '49', 'name': 'Magic'}, {'id': '50', 'name': 'Sanda Boss'}, {'id': '51', 'name': 'Shark'}, {'id': '52', 'name': 'Star'}, {'id': '53', 'name': 'Symphony'}, {'id': '286', 'name': 'Venus'}, {'id': '54', 'name': 'Wolf'}, {'id': '55', 'name': 'Dòng khác'}]"
6,Aprilia,"[{'id': '112', 'name': '2015 RSV4 R APRC ABS'}, {'id': '113', 'name': '2015 Tuono V4 R APRC ABS'}, {'id': '114', 'name': 'Caponord 1200 ABS Rally'}, {'id': '115', 'name': 'Caponord 1200 ABS Travel Pack'}, {'id': '116', 'name': 'Dorsoduro 750 ABS'}, {'id': '117', 'name': 'RSV4 RF'}, {'id': '118', 'name': 'RSV4 RF LE'}, {'id': '119', 'name': 'RSV4 RR'}, {'id': '120', 'name': 'Shiver 750'}, {'id': '428', 'name': 'SR GT 200'}, {'id': '121', 'name': 'SR MOTARD 50'}, {'id': '122', 'name': 'Tuono V4 1100 Factory ABS'}, {'id': '123', 'name': 'Tuono V4 1100 RR ABS'}, {'id': '124', 'name': 'Dòng khác'}]"
7,Bazan,"[{'id': '125', 'name': 'Dream'}, {'id': '126', 'name': 'Dòng khác'}]"
8,Benelli,"[{'id': '313', 'name': '302R'}, {'id': '179', 'name': 'BN 302'}, {'id': '180', 'name': 'BN 600i'}, {'id': '310', 'name': 'Caffe Nero'}, {'id': '311', 'name': 'Pepe'}, {'id': '389', 'name': 'RFS'}, {'id': '315', 'name': 'T15'}, {'id': '312', 'name': 'TNT'}, {'id': '314', 'name': 'TRK'}, {'id': '316', 'name': 'VLM'}, {'id': '181', 'name': 'Dòng khác'}]"
9,BMW,"[{'id': '399', 'name': 'C400GT'}, {'id': '398', 'name': 'C400X'}, {'id': '318', 'name': 'C600'}, {'id': '319', 'name': 'C650'}, {'id': '320', 'name': 'F800'}, {'id': '183', 'name': 'F800GS'}, {'id': '182', 'name': 'R nine T'}, {'id': '317', 'name': 'R1200'}, {'id': '184', 'name': 'S1000R'}, {'id': '185', 'name': 'S1000RR'}, {'id': '186', 'name': 'Dòng khác'}]"
35,Brixton,"[{'id': '300', 'name': 'BX 125'}, {'id': '301', 'name': 'BX 150'}, {'id': '419', 'name': 'Dòng khác'}]"
